"﻿""Rank""",RepoName,RepoUrl,Owner,Language,Stars,CreatedAt,UpdatedAt,Topics,Subdomain,Score,TopicRichness,DescriptionQ,LanguagePresent,StarsScore,RecencyScore,LongevityScore,SignalClarity,SubdomainScore,JunkPenalty,IsJunk,SourceQuery,Description,Rank
,mlflow/mlflow,https://github.com/mlflow/mlflow,mlflow,Python,25701,6/5/2018 4:05:58 PM,5/3/2026 4:59:45 PM,,llm,1392.55,0,0.6,1,0.882,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",11
,pytorch/vision,https://github.com/pytorch/vision,pytorch,Python,17657,11/9/2016 11:11:43 PM,5/3/2026 2:52:08 PM,,computer-vision,1399,0,1,1,0.8494,1,0.8,0.5833,1,0,False,topic:machine-learning language:python stars:>=1000,"Datasets, Transforms and Models specific to Computer Vision",12
13,JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,JaidedAI,Python,29372,3/14/2020 4:46:39 AM,4/29/2026 4:52:26 PM,cnn;crnn;data-mining;deep-learning;easyocr;image-processing;information-retrieval;lstm;machine-learning;ocr;optical-character-recognition;python;pytorch;scene-text;scene-text-recognition,deep-learning,1975.74,1,1,1,0.8936,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc.",13
,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,scikit-learn,Python,65964,8/17/2010 9:43:38 AM,5/3/2026 4:24:07 PM,,,1279.65,0,1,1,0.9639,1,1,0.4167,0,0,False,topic:machine-learning language:python stars:>=1000,scikit-learn: machine learning in Python,14
15,serengil/deepface,https://github.com/serengil/deepface,serengil,Python,22648,2/8/2020 12:42:28 PM,4/29/2026 11:12:36 AM,age-prediction;arcface;deep-learning;deepface;deepid;emotion-recognition;face-analysis;face-recognition;facenet;facial-expression-recognition;facial-recognition;gender-prediction;machine-learning;openface;python;race-classification;vgg-face,deep-learning,1969.53,1,1,1,0.871,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python",15
16,jina-ai/serve,https://github.com/jina-ai/serve,jina-ai,Python,21875,2/13/2020 9:04:44 AM,4/29/2026 2:56:49 PM,cloud-native;cncf;deep-learning;docker;fastapi;framework;generative-ai;grpc;jaeger;kubernetes;llmops;machine-learning;microservice;mlops;multimodal;neural-search;opentelemetry;orchestration;pipeline;prometheus,llm,1968.7,1,1,1,0.868,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,â˜ï¸ Build multimodal AI applications with cloud-native stack,16
,treeverse/dvc,https://github.com/treeverse/dvc,treeverse,Python,15576,3/4/2017 8:16:33 AM,5/3/2026 4:48:17 PM,,mlops,1327.25,0,1,1,0.8385,1,0.8,0.3333,1,0,False,topic:machine-learning language:python stars:>=1000,🦉 Data Versioning and ML Experiments,17
18,huggingface/datasets,https://github.com/huggingface/datasets,huggingface,Python,21466,3/26/2020 2:23:22 AM,4/29/2026 12:41:39 PM,ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow,llm,1968.25,1,1,1,0.8664,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,"ðŸ¤— The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools",18
19,onnx/onnx,https://github.com/onnx/onnx,onnx,Python,20734,9/6/2017 9:53:45 PM,4/29/2026 2:56:25 PM,ai;artificial-intelligence;deep-learning;deep-neural-networks;dnn;keras;machine-learning;ml;neural-network;onnx;pytorch;scikit-learn;tensorflow,deep-learning,1967.42,1,1,1,0.8633,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,Open standard for machine learning interoperability,19
20,bbfamily/abu,https://github.com/bbfamily/abu,bbfamily,Python,16981,9/19/2016 8:31:53 AM,4/29/2026 1:40:25 PM,algorithmic-trading;bitcoin;machine-learning;matplotlib;numpy;pandas;quant;quantitative-trading;stock;trade;trading,data-science,1962.65,1,1,1,0.846,1,0.8,1,1,0,False,topic:machine-learning language:python stars:>=1000,é˜¿å¸ƒé‡åŒ–äº¤æ˜“ç³»ç»Ÿ(è‚¡ç¥¨ï¼ŒæœŸæƒï¼ŒæœŸè´§ï¼Œæ¯”ç‰¹å¸ï¼Œæœºå™¨å­¦ä¹ ) åŸºäºŽpythonçš„å¼€æºé‡åŒ–äº¤æ˜“ï¼Œé‡åŒ–æŠ•èµ„æž¶æž„,20
