"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"zulip/zulip","https://github.com/zulip/zulip","zulip","Python","25279","False","False","9/25/2015 4:37:25 PM","5/27/2026 7:18:25 AM","Zulip server and web application. Open-source team chat that helps teams stay productive and focused.","apache;chat;collaboration;electron;foss;free;javascript;python;python3;react-native;slack;zulip","open language:Python stars:>=50"
"geniusrise/geniusrise","https://github.com/geniusrise/geniusrise","geniusrise","Python","61","False","False","5/10/2023 6:51:35 PM","11/29/2025 4:31:59 PM","Geniusrise: Framework for building geniuses","agent-based-framework;agentops;ai;cli;fine-tuning;geniusrise;llm-framework;llmops;mlops","topic:agentops language:Python stars:>=50"
"langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","langchain-ai","Python","33097","False","False","8/9/2023 6:33:12 PM","5/27/2026 7:35:58 AM","Build resilient agents.","agents;ai;ai-agents;chatgpt;deepagents;enterprise;framework;gemini;generative-ai;langchain;langgraph;llm;multiagent;open-source;openai;pydantic;python;rag","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50"
"microsoft/magentic-ui","https://github.com/microsoft/magentic-ui","microsoft","Python","9871","False","False","5/5/2025 8:24:30 PM","5/27/2026 7:04:39 AM","An experimental agent that works across the browser and local file system","agents;ai;ai-ux;autogen;browser-use;computer-use-agent;cua;ui","topic:agents language:Python stars:>=50"
"AUTOMATIC1111/stable-diffusion-webui","https://github.com/AUTOMATIC1111/stable-diffusion-webui","AUTOMATIC1111","Python","163291","False","False","8/22/2022 2:05:26 PM","5/27/2026 7:35:05 AM","Stable Diffusion web UI","ai;ai-art;deep-learning;diffusion;gradio;image-generation;image2image;img2img;pytorch;stable-diffusion;text2image;torch;txt2img;unstable;upscaling;web","topic:ai language:Python stars:>=50"
"hacksider/Deep-Live-Cam","https://github.com/hacksider/Deep-Live-Cam","hacksider","Python","93380","False","False","9/24/2023 1:19:31 PM","5/27/2026 7:25:37 AM","real time face swap and one-click video deepfake with only a single image","ai;ai-deep-fake;ai-face;ai-webcam;artificial-intelligence;deep-fake;deepfake;deepfake-webcam;faceswap;fake-webcam;gan;real-time-deepfake;realtime;realtime-deepfake;realtime-face-changer;video-deepfake;webcam;webcamera","topic:ai language:Python stars:>=50"
"khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34726","False","False","8/16/2021 1:48:44 AM","5/27/2026 7:06:24 AM","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.","agent;ai;assistant;chat;chatgpt;emacs;image-generation;llama3;llamacpp;llm;obsidian;obsidian-md;offline-llm;productivity;rag;research;self-hosted;semantic-search;stt;whatsapp-ai","topic:ai language:Python stars:>=50"
"netbox-community/netbox","https://github.com/netbox-community/netbox","netbox-community","Python","20687","False","False","2/29/2016 2:15:46 PM","5/27/2026 6:29:09 AM","The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free: https://netboxlabs.com/products/free-netbox-cloud/","cabling;dcim;django;infrastructure-management;ipam;netbox;network;network-automation;python;sot;sysadmin","open language:Python stars:>=50"
"magic-wormhole/magic-wormhole","https://github.com/magic-wormhole/magic-wormhole","magic-wormhole","Python","22630","False","False","2/10/2015 8:38:44 AM","5/26/2026 2:23:43 PM","get things from one computer to another, safely","","m language:Python stars:>=50"
"mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","56846","False","False","6/20/2023 8:58:36 AM","5/27/2026 7:19:20 AM","Universal memory layer for AI Agents","agents;ai;ai-agents;application;chatbots;chatgpt;genai;llm;long-term-memory;memory;memory-management;python;rag;state-management","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | m language:Python stars:>=50 | topic:llm stars:>=100"
"resemble-ai/chatterbox","https://github.com/resemble-ai/chatterbox","resemble-ai","Python","24869","False","False","4/23/2025 8:16:38 AM","5/27/2026 7:10:03 AM","SoTA open-source TTS","","open language:Python stars:>=50"
"Vision-CAIR/MiniGPT-4","https://github.com/Vision-CAIR/MiniGPT-4","Vision-CAIR","Python","25705","False","False","4/15/2023 10:17:09 PM","5/26/2026 11:41:19 PM","Open-sourced codes for MiniGPT-4 and MiniGPT-v2 (https://minigpt-4.github.io, https://minigpt-v2.github.io/)","","open language:Python stars:>=50 | m language:Python stars:>=50"
"subframe7536/maple-font","https://github.com/subframe7536/maple-font","subframe7536","Python","26192","False","False","4/8/2022 3:51:22 PM","5/27/2026 7:30:19 AM","Maple Mono: Open source monospace font with round corner, ligatures and Nerd-Font icons for IDE and terminal, fine-grained customization options. 带连字和控制台图标的圆角等宽字体，中英文宽度完美2:1，细粒度的自定义选项","coding-font;font;ligatures;monospace;monospace-font;opentype;programming-font;programming-ligatures;typeface;typography;variable-font","open language:Python stars:>=50 | m language:Python stars:>=50"
"langchain-ai/langchain","https://github.com/langchain-ai/langchain","langchain-ai","Python","137743","False","False","10/17/2022 2:58:36 AM","5/27/2026 7:40:05 AM","The agent engineering platform.","agents;ai;ai-agents;anthropic;chatgpt;deepagents;enterprise;framework;gemini;generative-ai;langchain;langgraph;llm;multiagent;open-source;openai;pydantic;python;rag;typescript","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","52895","False","False","4/5/2026 1:12:07 AM","5/27/2026 7:15:50 AM","The best-benchmarked open-source AI memory system. And it's free.","ai;chromadb;llm;mcp;memory;python","topic:ai language:Python stars:>=50 | open language:Python stars:>=50 | m language:Python stars:>=50 | topic:llm stars:>=100"
"home-assistant/core","https://github.com/home-assistant/core","home-assistant","Python","87336","False","False","9/17/2013 7:29:48 AM","5/27/2026 7:20:39 AM",":house_with_garden: Open source home automation that puts local control and privacy first.","asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi","open language:Python stars:>=50"
"AgentOps-AI/agentops","https://github.com/AgentOps-AI/agentops","AgentOps-AI","Python","5579","False","False","8/15/2023 11:26:23 PM","5/27/2026 4:59:14 AM","Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and CamelAI","agent;agentops;agents-sdk;ai;anthropic;autogen;cost-estimation;crewai;evals;evaluation-metrics;groq;langchain;llm;mistral;ollama;openai;openai-agents","topic:agentops language:Python stars:>=50"
"apple/ml-stable-diffusion","https://github.com/apple/ml-stable-diffusion","apple","Python","17861","False","False","11/16/2022 12:48:18 AM","5/26/2026 11:18:02 PM","Stable Diffusion with Core ML on Apple Silicon","","m language:Python stars:>=50"
"hpcaitech/ColossalAI","https://github.com/hpcaitech/ColossalAI","hpcaitech","Python","41383","False","False","10/28/2021 4:19:44 PM","5/27/2026 3:06:21 AM","Making large AI models cheaper, faster and more accessible","ai;big-model;data-parallelism;deep-learning;distributed-computing;foundation-models;heterogeneous-training;hpc;inference;large-scale;model-parallelism;pipeline-parallelism","topic:ai language:Python stars:>=50"
"vectorize-io/hindsight","https://github.com/vectorize-io/hindsight","vectorize-io","Python","14762","False","False","10/30/2025 11:49:48 AM","5/27/2026 7:38:37 AM","Hindsight: Agent Memory That  Learns","agentic-ai;agents;ai-memory;memory","topic:agents language:Python stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160974","False","False","10/29/2018 1:56:00 PM","5/27/2026 7:11:11 AM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
"ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","39041","False","False","1/10/2026 6:43:20 AM","5/27/2026 7:40:44 AM","LLM驱动的 A/H/美股智能分析：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets.","a-stock;ai-agent;aigc;llm;quant;quantitative-finance;quantitative-trading","topic:llm stars:>=100"
"letta-ai/letta","https://github.com/letta-ai/letta","letta-ai","Python","22980","False","False","10/11/2023 7:38:37 AM","5/27/2026 7:04:57 AM","Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time.","ai;ai-agents;llm;llm-agent","topic:ai language:Python stars:>=50"
"onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20892","False","False","9/7/2017 4:53:45 AM","5/27/2026 7:00:19 AM","Open standard for machine learning interoperability","ai;artificial-intelligence;deep-learning;deep-neural-networks;dnn;keras;machine-learning;ml;neural-network;onnx;pytorch;scikit-learn;tensorflow","open language:Python stars:>=50"
"mudler/LocalAI","https://github.com/mudler/LocalAI","mudler","Go","46487","False","False","3/18/2023 10:58:02 PM","5/27/2026 7:05:52 AM","LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.","agents;ai;api;audio-generation;decentralized;distributed;image-generation;libp2p;llama;llm;mamba;mcp;musicgen;object-detection;rerank;stable-diffusion;text-generation;tts","topic:llm stars:>=100"
"karpathy/minGPT","https://github.com/karpathy/minGPT","karpathy","Python","24450","False","False","8/17/2020 7:08:48 AM","5/27/2026 7:24:32 AM","A minimal PyTorch re-implementation of the OpenAI GPT (Generative Pretrained Transformer) training","","m language:Python stars:>=50"
"affaan-m/ECC","https://github.com/affaan-m/ECC","affaan-m","JavaScript","195041","False","False","1/18/2026 12:51:51 AM","5/27/2026 7:41:05 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"myshell-ai/OpenVoice","https://github.com/myshell-ai/OpenVoice","myshell-ai","Python","36572","False","False","11/29/2023 12:17:01 PM","5/27/2026 3:48:23 AM","Instant voice cloning by MIT and MyShell. Audio foundation model.","text-to-speech;tts;voice-clone;zero-shot-tts","open language:Python stars:>=50"
"PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","PrefectHQ","Python","6160","False","False","3/10/2023 6:44:40 PM","5/26/2026 10:51:18 PM","an ambient intelligence library","agents;ai;ambient-ai;chatbots;gpt;llm;nli;python;structured-outputs","topic:agents language:Python stars:>=50"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","OpenBB-finance","Python","68141","False","False","12/20/2020 10:46:38 AM","5/27/2026 7:03:43 AM","Financial data platform for analysts, quants and AI agents.","ai;crypto;derivatives;economics;equity;finance;fixed-income;machine-learning;openbb;options;python;quantitative-finance;stocks","topic:ai language:Python stars:>=50 | open language:Python stars:>=50"
"TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","TauricResearch","Python","79969","False","False","12/28/2024 3:31:08 AM","5/27/2026 7:40:45 AM","TradingAgents: Multi-Agents LLM Financial Trading Framework","agent;finance;llm;multiagent;trading","topic:llm stars:>=100"
"plotly/dash","https://github.com/plotly/dash","plotly","Python","24217","False","False","4/10/2015 1:53:08 AM","5/27/2026 6:47:17 AM","Data Apps & Dashboards for Python. No JavaScript Required.","ai;bioinformatics;charting;dash;dashboards;data-science;data-visualization;finance;flask;gui-framework;jupyter;plotly;plotly-dash;productivity;python;react;technical-computing;web-app","topic:ai language:Python stars:>=50"
"raga-ai-hub/RagaAI-Catalyst","https://github.com/raga-ai-hub/RagaAI-Catalyst","raga-ai-hub","Python","16166","False","False","8/26/2024 12:13:15 PM","5/26/2026 11:04:58 PM","Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view ","agentic-ai;agentic-ai-development;agentneo;agents;ai-agent-monitoring;ai-application-debugging;ai-evaluation-tools;ai-performance-optimization;ai-tool-interaction-monitoring;llm-testing;llm-tracing;llmops","topic:agents language:Python stars:>=50"
"Netflix/metaflow","https://github.com/Netflix/metaflow","Netflix","Python","10108","False","False","9/17/2019 5:48:25 PM","5/27/2026 1:42:33 AM","Build, Manage and Deploy AI/ML Systems","agents;ai;aws;azure;cost-optimization;datascience;distributed-training;gcp;generative-ai;high-performance-computing;kubernetes;llm;llmops;machine-learning;ml;ml-infrastructure;ml-platform;mlops;model-management;python","topic:agents language:Python stars:>=50"
"ValueCell-ai/valuecell","https://github.com/ValueCell-ai/valuecell","ValueCell-ai","Python","10728","False","False","9/1/2025 9:07:06 AM","5/27/2026 3:07:45 AM","ValueCell is a community-driven, multi-agent platform for financial applications.","agentic-ai;agents;ai;assitant;crypto;equity;finance;investment;mcp;python;react;stock-market","topic:agents language:Python stars:>=50"
"microsoft/markitdown","https://github.com/microsoft/markitdown","microsoft","Python","125356","False","False","11/13/2024 7:56:40 PM","5/27/2026 7:35:59 AM","Python tool for converting files and office documents to Markdown.","autogen;autogen-extension;langchain;markdown;microsoft-office;openai;pdf","m language:Python stars:>=50"
"FujiwaraChoki/MoneyPrinterV2","https://github.com/FujiwaraChoki/MoneyPrinterV2","FujiwaraChoki","Python","30573","False","False","2/12/2024 11:20:42 AM","5/27/2026 7:28:25 AM","Automate the process of making money online.","automation;cli;json;money;outreach;python;twitter;youtube","m language:Python stars:>=50"
"oobabooga/textgen","https://github.com/oobabooga/textgen","oobabooga","Python","47226","False","False","12/21/2022 4:17:37 AM","5/27/2026 6:13:13 AM","Open-source desktop app for local LLMs. Text, vision, tool-calling, OpenAI/Anthropic-compatible API. 100% private.","","open language:Python stars:>=50"
"matplotlib/matplotlib","https://github.com/matplotlib/matplotlib","matplotlib","Python","22841","False","False","2/19/2011 3:17:12 AM","5/27/2026 6:41:20 AM","matplotlib: plotting with Python","data-science;data-visualization;gtk;matplotlib;plotting;python;qt;tk;wx","m language:Python stars:>=50"
"rasbt/LLMs-from-scratch","https://github.com/rasbt/LLMs-from-scratch","rasbt","Jupyter Notebook","96058","False","False","7/23/2023 6:15:57 PM","5/27/2026 7:17:57 AM","Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","ai;artificial-intelligence;attention-mechanism;deep-learning;finetuning;from-scratch;generative-ai;gpt;instruction-tuning;language-model;large-language-models;llm;machine-learning;natural-language-processing;pretraining;python;pytorch;tokenizer;transformers","topic:llm stars:>=100"
"Stability-AI/generative-models","https://github.com/Stability-AI/generative-models","Stability-AI","Python","27172","False","False","6/22/2023 12:36:35 AM","5/26/2026 9:28:01 PM","Generative Models by Stability AI","","m language:Python stars:>=50"
"livekit/agents","https://github.com/livekit/agents","livekit","Python","10704","False","False","10/19/2023 11:00:55 PM","5/27/2026 7:07:02 AM","A framework for building realtime voice AI agents 🤖🎙️📹 ","agents;ai;openai;real-time;video;voice","topic:agents language:Python stars:>=50"
"Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","184579","False","False","3/16/2023 9:21:07 AM","5/27/2026 7:16:28 AM","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","agentic-ai;agents;ai;artificial-intelligence;autonomous-agents;claude;gpt;llama-api;llm;openai;python","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50 | topic:llm stars:>=100"
"state-spaces/mamba","https://github.com/state-spaces/mamba","state-spaces","Python","18315","False","False","12/1/2023 1:17:39 AM","5/27/2026 6:48:22 AM","Mamba SSM architecture","","m language:Python stars:>=50"
"open-mmlab/mmdetection","https://github.com/open-mmlab/mmdetection","open-mmlab","Python","32716","False","False","8/22/2018 7:06:06 AM","5/27/2026 6:37:34 AM","OpenMMLab Detection Toolbox and Benchmark","cascade-rcnn;convnext;detr;fast-rcnn;faster-rcnn;glip;grounding-dino;instance-segmentation;mask-rcnn;object-detection;panoptic-segmentation;pytorch;retinanet;rtmdet;semisupervised-learning;ssd;swin-transformer;transformer;vision-transformer;yolo","m language:Python stars:>=50"
"usestrix/strix","https://github.com/usestrix/strix","usestrix","Python","25632","False","False","8/5/2025 9:28:30 PM","5/27/2026 6:42:46 AM","Open-source AI hackers to find and fix your app’s vulnerabilities.","agents;artificial-intelligence;cybersecurity;generative-ai;llm;penetration-testing","topic:agents language:Python stars:>=50 | open language:Python stars:>=50"
"onyx-dot-app/onyx","https://github.com/onyx-dot-app/onyx","onyx-dot-app","Python","29827","False","False","4/27/2023 6:04:01 AM","5/27/2026 7:24:41 AM","Open Source AI Platform - AI Chat with advanced features that works with every LLM","ai;ai-chat;chatgpt;chatui;enterprise-search;gen-ai;information-retrieval;llm;llm-ui;nextjs;python;rag;self-hosted;vector-search","topic:ai language:Python stars:>=50 | open language:Python stars:>=50"
"Arize-ai/phoenix","https://github.com/Arize-ai/phoenix","Arize-ai","Python","9861","False","False","11/9/2022 11:44:35 PM","5/27/2026 7:21:49 AM","AI Observability & Evaluation","agents;ai-monitoring;ai-observability;aiengineering;anthropic;datasets;evals;langchain;llamaindex;llm-eval;llm-evaluation;llmops;llms;openai;prompt-engineering;smolagents","topic:agents language:Python stars:>=50"
"mkdocs/mkdocs","https://github.com/mkdocs/mkdocs","mkdocs","Python","22112","False","False","1/11/2014 9:05:21 PM","5/27/2026 4:24:52 AM","Project documentation with Markdown.","documentation;markdown;mkdocs;python;static-site-generator","m language:Python stars:>=50"
"mitmproxy/mitmproxy","https://github.com/mitmproxy/mitmproxy","mitmproxy","Python","43694","False","False","2/16/2010 4:10:13 AM","5/27/2026 6:52:58 AM","An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.","debugging;http;http2;man-in-the-middle;mitmproxy;proxy;python;security;ssl;tls;websocket","m language:Python stars:>=50"
"ManimCommunity/manim","https://github.com/ManimCommunity/manim","ManimCommunity","Python","38660","False","False","5/19/2020 2:37:13 AM","5/27/2026 6:54:14 AM","A community-maintained Python framework for creating mathematical animations. ","animations;hacktoberfest;manim;math;python","m language:Python stars:>=50"
"assafelovic/gpt-researcher","https://github.com/assafelovic/gpt-researcher","assafelovic","Python","27334","False","False","5/12/2023 10:33:54 AM","5/27/2026 7:20:48 AM","An autonomous agent that conducts deep research on any data using any LLM providers","agent;ai;automation;deepresearch;llms;mcp;mcp-server;python;research;search;webscraping","topic:ai language:Python stars:>=50"
"D4Vinci/Scrapling","https://github.com/D4Vinci/Scrapling","D4Vinci","Python","54405","False","False","10/13/2024 8:29:53 PM","5/27/2026 7:36:21 AM","🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!","ai;ai-scraping;automation;crawler;crawling;crawling-python;data;data-extraction;mcp;mcp-server;playwright;python;scraping;selectors;stealth;web-scraper;web-scraping;web-scraping-python;webscraping;xpath","topic:ai language:Python stars:>=50"
"Hmbown/CodeWhale","https://github.com/Hmbown/CodeWhale","Hmbown","Rust","35171","False","False","1/19/2026 6:21:01 PM","5/27/2026 7:38:06 AM","DeepSeek v4 coding agent in terminal","cli;deepseek;llm;rust;terminal;tui","topic:llm stars:>=100"
"chenfei-wu/TaskMatrix","https://github.com/chenfei-wu/TaskMatrix","chenfei-wu","Python","34118","False","False","3/2/2023 9:04:28 AM","5/26/2026 5:50:45 AM","","","m language:Python stars:>=50"
"jingyaogong/minimind","https://github.com/jingyaogong/minimind","jingyaogong","Python","50663","False","False","7/27/2024 4:34:12 AM","5/27/2026 7:34:54 AM","🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!","artificial-intelligence;large-language-model","m language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","38093","False","False","3/31/2023 12:12:45 PM","5/27/2026 6:45:56 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"MetaCubeX/mihomo","https://github.com/MetaCubeX/mihomo","MetaCubeX","Python","30598","False","False","5/20/2021 11:06:33 AM","5/27/2026 7:41:14 AM","A simple Python Pydantic model for Honkai: Star Rail parsed data from the Mihomo API.","honkai-star-rail;mihomo;python;star-rail-api","m language:Python stars:>=50"
"sinaptik-ai/pandas-ai","https://github.com/sinaptik-ai/pandas-ai","sinaptik-ai","Python","23553","False","False","4/22/2023 12:58:01 PM","5/27/2026 1:03:57 AM","Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.","ai;csv;data;data-analysis;data-science;data-visualization;database;datalake;gpt-4;llm;pandas;sql;text-to-sql","topic:ai language:Python stars:>=50"
"zenml-io/zenml","https://github.com/zenml-io/zenml","zenml-io","Python","5424","False","False","11/19/2020 9:25:46 AM","5/27/2026 4:54:02 AM","ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io.","agentops;agents;ai;automl;data-science;deep-learning;devops-tools;genai;llm;llmops;machine-learning;metadata-tracking;ml;mlops;pipelines;production-ready;pytorch;tensorflow;workflow;zenml","topic:agentops language:Python stars:>=50"
"harry0703/MoneyPrinterTurbo","https://github.com/harry0703/MoneyPrinterTurbo","harry0703","Python","59985","False","False","3/11/2024 2:57:34 AM","5/27/2026 7:39:36 AM","利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.","ai;automation;chatgpt;moviepy;python;shortvideo;tiktok","topic:ai language:Python stars:>=50 | m language:Python stars:>=50"
"facefusion/facefusion","https://github.com/facefusion/facefusion","facefusion","Python","28424","False","False","8/17/2023 7:59:55 PM","5/27/2026 7:17:52 AM","Industry leading face manipulation platform","ai;deep-fake;deepfake;face-swap;faceswap;lip-sync;lipsync","topic:ai language:Python stars:>=50"
"infiniflow/ragflow","https://github.com/infiniflow/ragflow","infiniflow","Python","81338","False","False","12/12/2023 6:13:13 AM","5/27/2026 7:32:39 AM","RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs","agentic-ai;agentic-retrieval;agentic-search;ai;ai-agents;context-engine;context-management;llm-apps;rag;retrieval-augmented-generation","topic:ai language:Python stars:>=50 | open language:Python stars:>=50"
"crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","crewAIInc","Python","52265","False","False","10/27/2023 3:26:59 AM","5/27/2026 7:39:25 AM","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","agents;ai;ai-agents;aiagentframework;llms","topic:agents language:Python stars:>=50 | topic:ai language:Python stars:>=50"
"unclecode/crawl4ai","https://github.com/unclecode/crawl4ai","unclecode","Python","66480","False","False","5/9/2024 9:48:50 AM","5/27/2026 7:38:05 AM","🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN","","open language:Python stars:>=50"
