AnchorRepo,AnchorUrl,CandidateRepo,CandidateUrl,CandidateOwner,CandidateLanguage,CandidateStars,CandidateSubdomain,Score,ScoreBase,PenaltyCrossAnchorFreq,PenaltyRetrieval,PenaltyNotes,Qualified,TopicJaccard,LexicalJaccard,LanguageMatch,StarSimilarity,RecencySimilarity,SubdomainMatch,QueryCoverage,TopSignals,ScoreBreakdownJson,WhyQualified,SourceQueries,Description,Rank,_anchor_folder,_anchor
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,keras-team/keras,https://github.com/keras-team/keras,keras-team,Python,64073,deep-learning,1160.68,1197.6,36.91,150,QueryCoverage excluded from Score (recommended).,True,0.5,0,1,0.8434,1,1,1,Topic+Lang+Subdomain,"{""Topic"":450.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":147.6,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":1197.6,""ScoreFinal"":1160.68}",Score>=MinimumScore,topic:data-science language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:deep-learning stars:>=100,Deep Learning for humans,1,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,stanfordnlp,Python,7793,deep-learning,1074,1097.35,23.34,50,QueryCoverage excluded from Score (recommended).,True,0.4167,0,1,0.6991,1,1,0.3333,Topic+Lang+Subdomain,"{""Topic"":375.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":122.35,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":23.34,""ScoreBase"":1097.35,""ScoreFinal"":1074.0}",Score>=MinimumScore,topic:artificial-intelligence language:Python stars:>=50,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages",2,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,unit8co/darts,https://github.com/unit8co/darts,unit8co,Python,9379,deep-learning,1066.04,1089.39,23.34,50,QueryCoverage excluded from Score (recommended).,True,0.4,0,1,0.7394,1,1,0.3333,Topic+Lang+Subdomain,"{""Topic"":360.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":129.39,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":23.34,""ScoreBase"":1089.39,""ScoreFinal"":1066.04}",Score>=MinimumScore,topic:data-science language:Python stars:>=50,A python library for user-friendly forecasting and anomaly detection on time series.,3,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,kornia/kornia,https://github.com/kornia/kornia,kornia,Python,11210,deep-learning,1061.35,1082.32,20.97,50,QueryCoverage excluded from Score (recommended).,True,0.3846,0,1,0.7781,1,1,0.3333,Topic+Lang+Subdomain,"{""Topic"":346.15,""Lexical"":0.0,""Lang"":250.0,""Stars"":136.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":20.97,""ScoreBase"":1082.32,""ScoreFinal"":1061.35}",Score>=MinimumScore,topic:artificial-intelligence language:Python stars:>=50,🐍 Geometric Computer Vision Library for Spatial AI,4,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,streamlit/streamlit,https://github.com/streamlit/streamlit,streamlit,Python,44656,deep-learning,1051.68,1088.59,36.91,100,QueryCoverage excluded from Score (recommended).,True,0.3636,0,1,0.9218,1,1,0.6667,Topic+Lang+Subdomain,"{""Topic"":327.27,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.32,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":1088.59,""ScoreFinal"":1051.68}",Score>=MinimumScore,topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100,Streamlit — A faster way to build and share data apps.,5,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,explosion/spaCy,https://github.com/explosion/spaCy,explosion,Python,33594,deep-learning,1034.47,1072.13,37.66,150,QueryCoverage excluded from Score (recommended).,True,0.3333,0,1,0.9836,1,1,1,Topic+Lang+Subdomain,"{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":37.66,""ScoreBase"":1072.13,""ScoreFinal"":1034.47}",Score>=MinimumScore,topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100,💫 Industrial-strength Natural Language Processing (NLP) in Python,6,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,recommenders-team,Python,21708,deep-learning,1025.99,1061.27,35.28,100,QueryCoverage excluded from Score (recommended).,True,0.3333,0,1,0.9216,1,1,0.6667,Topic+Lang+Subdomain,"{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.27,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":35.28,""ScoreBase"":1061.27,""ScoreFinal"":1025.99}",Score>=MinimumScore,topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50,Best Practices on Recommendation Systems,7,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,onnx/onnx,https://github.com/onnx/onnx,onnx,Python,20857,deep-learning,1025.37,1059.76,34.38,100,QueryCoverage excluded from Score (recommended).,True,0.3333,0,1,0.9129,1,1,0.6667,Topic+Lang+Subdomain,"{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.76,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":34.38,""ScoreBase"":1059.76,""ScoreFinal"":1025.37}",Score>=MinimumScore,topic:artificial-intelligence language:Python stars:>=50 | pytorch language:Python stars:>=50,Open standard for machine learning interoperability,8,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,google-deepmind,Python,9917,deep-learning,1010.54,1031.51,20.97,50,QueryCoverage excluded from Score (recommended).,True,0.3333,0,1,0.7515,1,1,0.3333,Topic+Lang+Subdomain,"{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":131.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":20.97,""ScoreBase"":1031.51,""ScoreFinal"":1010.54}",Score>=MinimumScore,topic:artificial-intelligence language:Python stars:>=50,TensorFlow-based neural network library,9,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,babysor/MockingBird,https://github.com/babysor/MockingBird,babysor,Python,36900,deep-learning,1001.65,1038.57,36.91,150,QueryCoverage excluded from Score (recommended).,True,0.3,0,1,0.9632,1,1,1,Topic+Lang+Subdomain,"{""Topic"":270.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":168.57,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":1038.57,""ScoreFinal"":1001.65}",Score>=MinimumScore,topic:ai language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:deep-learning stars:>=100,🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time,10,Lightning-AI-pytorch-lightning,Lightning-AI/pytorch-lightning
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,ValueCell-ai/valuecell,https://github.com/ValueCell-ai/valuecell,ValueCell-ai,Python,10541,reinforcement,1029.77,,,,,True,0.25,0,1,0.5987,1,1,0.6667,,,,topic:crypto language:Python stars:>=50 | financial language:Python stars:>=50,"ValueCell is a community-driven, multi-agent platform for financial applications.",1,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,agno-agi/agno,https://github.com/agno-agi/agno,agno-agi,Python,39891,reinforcement,917.84,,,,,True,0.125,0,1,0.8876,1,1,0.3333,,,,topic:ai language:Python stars:>=50,Run agents as production software.,2,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,quantsbin/Quantsbin,https://github.com/quantsbin/Quantsbin,quantsbin,Python,628,reinforcement,875,,,,,False,0.25,0,1,0,1,1,0.3333,,,,topic:derivatives language:Python stars:>=50,Quantitative Finance tools,3,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,langchain-ai,Python,22181,reinforcement,839.28,,,,,False,0.0625,0,1,0.7602,1,1,0.3333,,,,topic:ai language:Python stars:>=50,"Agent harness built with LangChain and LangGraph. Equipped with a planning tool, a filesystem backend, and the ability to spawn subagents - well-equipped to handle complex agentic tasks.",4,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,Michalos88/Quant-Projects,https://github.com/Michalos88/Quant-Projects,Michalos88,Python,73,reinforcement,818.75,,,,,False,0.1875,0,1,0,1,1,0.3333,,,,topic:derivatives language:Python stars:>=50,Implementations of Leading Algorithms in Quantitative Finance ,5,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,zai-org/Open-AutoGLM,https://github.com/zai-org/Open-AutoGLM,zai-org,Python,25176,reinforcement,787.85,,,,,False,0,0,1,0.7877,1,1,0.3333,,,,o language:Python stars:>=50,An Open Phone Agent Model & Framework. Unlocking the AI Phone for Everyone,6,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,camel-ai/owl,https://github.com/camel-ai/owl,camel-ai,Python,19730,reinforcement,778.59,,,,,False,0,0,1,0.7348,1,1,0.3333,,,,o language:Python stars:>=50,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,7,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,binance/binance-skills-hub,https://github.com/binance/binance-skills-hub,binance,Python,807,reinforcement,777.16,,,,,False,0.1333,0,1,0.0409,1,1,0.3333,,,,topic:crypto language:Python stars:>=50,Binance Skills Hub is an open skills marketplace that gives AI agents native access to crypto,8,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,cuemacro/finmarketpy,https://github.com/cuemacro/finmarketpy,cuemacro,Python,3750,reinforcement,775.5,,,,,False,0.0667,0,1,0.3743,1,1,0.3333,,,,financial language:Python stars:>=50,Python library for backtesting trading strategies & analyzing financial markets (formerly pythalesians),9,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,openai/baselines,https://github.com/openai/baselines,openai,Python,16703,reinforcement,772.26,,,,,False,0,0,1,0.6986,1,1,0.3333,,,,reinforcement learning stars:>=100,OpenAI Baselines: high-quality implementations of reinforcement learning algorithms,10,OpenBB-finance-OpenBB,OpenBB-finance/OpenBB
apache/airflow,https://github.com/apache/airflow,dagster-io/dagster,https://github.com/dagster-io/dagster,dagster-io,Python,15547,mlops,1119.63,1146.72,27.09,50,QueryCoverage excluded from Score (recommended).,True,0.4583,0,1,0.767,1,1,0.3333,Topic+Lang+Subdomain,"{""Topic"":412.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":134.22,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":27.09,""ScoreBase"":1146.72,""ScoreFinal"":1119.63}",Score>=MinimumScore,topic:mlops stars:>=100,"An orchestration platform for the development, production, and observation of data assets.",1,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,Avaiga/taipy,https://github.com/Avaiga/taipy,Avaiga,Python,19219,mlops,915.13,933.19,18.06,50,QueryCoverage excluded from Score (recommended).,True,0.2121,0,1,0.813,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":190.91,""Lexical"":0.0,""Lang"":250.0,""Stars"":142.28,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":18.06,""ScoreBase"":933.19,""ScoreFinal"":915.13}",Score>=MinimumScore,topic:mlops stars:>=100,Turns Data and AI algorithms into production-ready web applications in no time.,2,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,feast-dev/feast,https://github.com/feast-dev/feast,feast-dev,Python,7046,mlops,884.15,884.15,0,50,QueryCoverage excluded from Score (recommended).,True,0.2,0,1,0.5952,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":104.15,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":884.15,""ScoreFinal"":884.15}",Score>=MinimumScore,topic:mlops stars:>=100,The Open Source Feature Store for AI/ML,3,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,kedro-org/kedro,https://github.com/kedro-org/kedro,kedro-org,Python,10866,mlops,814.3,828.61,14.31,50,QueryCoverage excluded from Score (recommended).,True,0.12,0,1,0.6892,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":108.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":120.61,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":14.31,""ScoreBase"":828.61,""ScoreFinal"":814.3}",Score>=MinimumScore,topic:mlops stars:>=100,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",4,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,ansible/ansible,https://github.com/ansible/ansible,ansible,Python,68614,mlops,793.19,802.22,9.03,50,QueryCoverage excluded from Score (recommended).,True,0.0476,0,1,0.9106,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":42.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.36,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":9.03,""ScoreBase"":802.22,""ScoreFinal"":793.19}",Score>=MinimumScore,a language:Python stars:>=50,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",5,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,abhishek-ch/around-dataengineering,https://github.com/abhishek-ch/around-dataengineering,abhishek-ch,Python,1144,mlops,785.1,785.1,0,50,QueryCoverage excluded from Score (recommended).,True,0.1667,0,1,0.2006,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":35.1,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":785.1,""ScoreFinal"":785.1}",Score>=MinimumScore,topic:airflow language:Python stars:>=50,A Data Engineering & Machine Learning Knowledge Hub,6,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,san089/goodreads_etl_pipeline,https://github.com/san089/goodreads_etl_pipeline,san089,Python,1509,mlops,774.18,774.18,0,100,QueryCoverage excluded from Score (recommended).,True,0.1429,0,1,0.2606,1,1,0.6667,Lang+Subdomain+Topic,"{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":45.61,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":774.18,""ScoreFinal"":774.18}",Score>=MinimumScore,topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50,"An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform.",7,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,couler-proj/couler,https://github.com/couler-proj/couler,couler-proj,Python,945,mlops,768.81,777.84,9.03,100,QueryCoverage excluded from Score (recommended).,True,0.1667,0,1,0.1591,1,1,0.6667,Lang+Subdomain+Topic,"{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":27.84,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":9.03,""ScoreBase"":777.84,""ScoreFinal"":768.81}",Score>=MinimumScore,topic:apache-airflow language:Python stars:>=50 | apache language:Python stars:>=50,"Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.",8,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,great-expectations/great_expectations,https://github.com/great-expectations/great_expectations,great-expectations,Python,11521,mlops,768.72,795.81,27.09,50,QueryCoverage excluded from Score (recommended).,True,0.0811,0,1,0.7019,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":72.97,""Lexical"":0.0,""Lang"":250.0,""Stars"":122.84,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":27.09,""ScoreBase"":795.81,""ScoreFinal"":768.72}",Score>=MinimumScore,topic:mlops stars:>=100,Always know what to expect from your data.,9,apache-airflow,apache/airflow
apache/airflow,https://github.com/apache/airflow,mara/mara-pipelines,https://github.com/mara/mara-pipelines,mara,Python,2086,mlops,766.27,775.3,9.03,50,QueryCoverage excluded from Score (recommended).,True,0.1304,0,1,0.3309,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":117.39,""Lexical"":0.0,""Lang"":250.0,""Stars"":57.91,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":9.03,""ScoreBase"":775.3,""ScoreFinal"":766.27}",Score>=MinimumScore,apache language:Python stars:>=50,"A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow",10,apache-airflow,apache/airflow
bbfamily/abu,https://github.com/bbfamily/abu,zvtvz/zvt,https://github.com/zvtvz/zvt,zvtvz,Python,4138,data-science,908.33,908.33,0,50,QueryCoverage excluded from Score (recommended).,True,0.2083,0,1,0.6905,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":187.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":120.83,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":908.33,""ScoreFinal"":908.33}",Score>=MinimumScore,topic:algorithmic-trading language:Python stars:>=50,modular quant framework.,1,bbfamily-abu,bbfamily/abu
