AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,2,aleju/imgaug,False,840.85,True,0,1,Image augmentation for machine learning experiments.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,3,aladdinpersson/Machine-Learning-Collection,False,777.88,True,0,1,A resource for learning about Machine learning & Deep Learning
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,4,tflearn/tflearn,False,766.29,True,233.45,2,Deep learning library featuring a higher-level API for TensorFlow.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,5,annoviko/pyclustering,False,753.81,True,90.31,1,"pyclustering is a Python, C++ data mining library."
explosion/spaCy,explosion-spacy,1,huggingface/autotrain-advanced,False,879.21,True,0,1,🤗 AutoTrain Advanced
explosion/spaCy,explosion-spacy,2,catalyst-team/catalyst,False,828.3,True,0,2,Accelerated deep learning R&D
explosion/spaCy,explosion-spacy,3,NTMC-Community/MatchZoo,False,827.66,True,0,1,"Facilitating the design, comparison and sharing of deep text matching models."
explosion/spaCy,explosion-spacy,4,flairNLP/flair,False,823.85,True,90.31,2,A very simple framework for state-of-the-art Natural Language Processing (NLP)
explosion/spaCy,explosion-spacy,5,huggingface/huggingface_hub,False,813.19,True,0,1,The official Python client for the Hugging Face Hub.
gradio-app/gradio,gradio-app-gradio,1,rio-labs/rio,False,813.57,True,90.31,2,"WebApps in pure Python. No JavaScript, HTML and CSS needed"
gradio-app/gradio,gradio-app-gradio,2,writer/writer-framework,False,813.07,True,90.31,1,"No-code in the front, Python in the back. An open-source framework for creating data apps."
gradio-app/gradio,gradio-app-gradio,3,probabl-ai/skore,False,806.3,True,90.31,2,"Track your Data Science. Skore's open-source Python library accelerates ML model development with automated evaluation reports, smart methodological guidance, and comprehensive cross-validation analys"
gradio-app/gradio,gradio-app-gradio,4,scikit-learn-contrib/imbalanced-learn,False,803.7,True,143.14,2, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning
gradio-app/gradio,gradio-app-gradio,5,fbdesignpro/sweetviz,False,789.59,True,90.31,2,"Visualize and compare datasets, target values and associations, with one line of code."
huggingface/datasets,huggingface-datasets,1,Lightning-AI/litgpt,False,856.09,True,90.31,1,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale."
huggingface/datasets,huggingface-datasets,2,katanaml/sparrow,False,802.51,True,0,1,"Structured data extraction and instruction calling with ML, LLM and Vision LLM"
huggingface/datasets,huggingface-datasets,3,yanshengjia/ml-road,False,792.93,True,0,1,"Machine Learning and Agentic AI Resources, Practice and Research"
huggingface/datasets,huggingface-datasets,4,jacobgil/pytorch-grad-cam,False,789.15,True,90.31,1,"Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
huggingface/datasets,huggingface-datasets,5,IBM/unitxt,False,756.52,True,0,1,"🦄 Unitxt is a Python library for enterprise-grade evaluation of AI performance, offering the world's largest catalog of  tools and data for end-to-end AI benchmarking"
huggingface/transformers,huggingface-transformers,1,GradientHQ/parallax,False,817.24,True,0,1,Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere
huggingface/transformers,huggingface-transformers,2,hiyouga/EasyR1,False,799.29,True,0,1,"EasyR1: An Efficient, Scalable, Multi-Modality RL Training Framework based on veRL"
huggingface/transformers,huggingface-transformers,3,speechbrain/speechbrain,False,777.8,True,0,1,A PyTorch-based Speech Toolkit
huggingface/transformers,huggingface-transformers,4,Tencent/AngelSlim,False,766.67,True,0,1,"Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency."
huggingface/transformers,huggingface-transformers,5,OpenBMB/UltraRAG,False,759.6,True,0,1,A Low-Code MCP Framework for Building Complex and Innovative RAG Pipelines
jina-ai/serve,jina-ai-serve,1,bentoml/BentoML,False,782.86,True,143.14,1,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
jina-ai/serve,jina-ai-serve,2,Netflix/metaflow,False,731.12,True,143.14,1,"Build, Manage and Deploy AI/ML Systems"
jina-ai/serve,jina-ai-serve,3,hongbo-miao/hongbomiao.com,False,711.63,True,0,1,A personal research and development (R&D) lab that facilitates the sharing of knowledge.
jina-ai/serve,jina-ai-serve,4,DaoCloud/DaoCloud-docs,False,702.86,True,0,1,DaoCloud Enterprise 5.0 Documentation
jina-ai/serve,jina-ai-serve,5,PrefectHQ/fastmcp,False,679.09,False,90.31,1,"🚀 The fast, Pythonic way to build MCP servers and clients."
onnx/onnx,onnx-onnx,1,fastmachinelearning/hls4ml,False,922.63,True,0,1,Machine learning on FPGAs using HLS
onnx/onnx,onnx-onnx,2,ufoym/deepo,False,909.31,True,0,1,Setup and customize deep learning environment in seconds.
onnx/onnx,onnx-onnx,3,OpenPPL/ppq,False,893.6,True,0,1,PPL Quantization Tool (PPQ) is a powerful offline neural network quantization tool.
onnx/onnx,onnx-onnx,4,jina-ai/clip-as-service,False,864.48,True,0,1,"🏄 Scalable embedding, reasoning, ranking for images and sentences with CLIP"
onnx/onnx,onnx-onnx,5,google-deepmind/sonnet,False,860.7,True,143.14,2,TensorFlow-based neural network library
pytorch/pytorch,pytorch-pytorch,1,chainer/chainer,False,1082.88,True,0,1,A flexible framework of neural networks for deep learning
pytorch/pytorch,pytorch-pytorch,2,norse/norse,False,1050,True,0,1,Deep learning with spiking neural networks (SNNs) in PyTorch.
pytorch/pytorch,pytorch-pytorch,3,pranftw/neograd,False,1015.38,True,0,1,A deep learning framework created from scratch with Python and NumPy
pytorch/pytorch,pytorch-pytorch,4,leptonai/leptonai,False,999.12,True,0,1,A Pythonic framework to simplify AI service building
pytorch/pytorch,pytorch-pytorch,5,oreilly-japan/deep-learning-from-scratch-3,False,960,True,0,1,"『ゼロから作る Deep Learning ❸』(O'Reilly Japan, 2020)"
ray-project/ray,ray-project-ray,1,torchpipe/torchpipe,False,773.08,True,0,1,Serving Inside Pytorch
ray-project/ray,ray-project-ray,2,ELS-RD/transformer-deploy,False,769.61,True,0,1,"Efficient, scalable and enterprise-grade CPU/GPU inference server for 🤗 Hugging Face transformer models 🚀"
ray-project/ray,ray-project-ray,3,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,False,750,True,0,1,"Deploy BERT for Sentiment Analysis as REST API using FastAPI, Transformers by Hugging Face and PyTorch"
ray-project/ray,ray-project-ray,4,run-llama/llama_deploy,False,735.02,True,0,1,Deploy your agentic worfklows to production
ray-project/ray,ray-project-ray,5,NVIDIA/TensorRT-LLM,False,719.89,True,90.31,1,TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT 
recommenders-team/recommenders,recommenders-team-recommenders,1,jfkirk/tensorrec,False,848.05,True,0,1,A TensorFlow recommendation algorithm and framework in Python.
recommenders-team/recommenders,recommenders-team-recommenders,2,wzhe06/Reco-papers,False,841.16,True,0,1,Classic papers and resources on recommendation
recommenders-team/recommenders,recommenders-team-recommenders,3,ylongqi/openrec,False,836.72,True,0,1,OpenRec is an open-source and modular library for neural network-inspired recommendation algorithms
recommenders-team/recommenders,recommenders-team-recommenders,4,maciejkula/spotlight,False,828.95,True,0,1,Deep recommender models using PyTorch.
recommenders-team/recommenders,recommenders-team-recommenders,5,RUCAIBox/RecBole,False,822.76,True,0,1,"A unified, comprehensive and efficient recommendation library"
sebastianruder/NLP-progress,sebastianruder-NLP-progress,1,jasonwu0731/trade-dst,False,920.52,True,0,1,"Source code for transferable dialogue state generator (TRADE, Wu et al., 2019). https://arxiv.org/abs/1905.08743 "
sebastianruder/NLP-progress,sebastianruder-NLP-progress,2,budzianowski/multiwoz,False,899.34,True,0,1,"Source code for end-to-end dialogue model from the MultiWOZ paper (Budzianowski et al. 2018, EMNLP)"
sebastianruder/NLP-progress,sebastianruder-NLP-progress,3,nltk/nltk,False,867.55,True,90.31,1,NLTK Source
sebastianruder/NLP-progress,sebastianruder-NLP-progress,4,Maluuba/nlg-eval,False,865.47,True,0,1,Evaluation code for various unsupervised automated metrics for Natural Language Generation.
sebastianruder/NLP-progress,sebastianruder-NLP-progress,5,hankcs/HanLP,False,817.26,True,90.31,1,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理
serengil/deepface,serengil-deepface,1,RangiLyu/nanodet,False,754.57,True,0,1,NanoDet-Plus⚡Super fast and lightweight anchor-free object detection model. 🔥Only 980 KB(int8) / 1.8MB (fp16) and run 97FPS on cellphone🔥
serengil/deepface,serengil-deepface,2,Lasagne/Lasagne,False,752.5,True,0,1,Lightweight library to build and train neural networks in Theano
serengil/deepface,serengil-deepface,3,deepinsight/insightface,False,747.84,True,90.31,2,State-of-the-art 2D and 3D Face Analysis Project
serengil/deepface,serengil-deepface,4,wujiyang/Face_Pytorch,False,739.14,True,0,1,"face recognition algorithms  in pytorch framework, including arcface, cosface, sphereface and so on"
serengil/deepface,serengil-deepface,5,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,False,732.85,True,0,1, 💎1MB lightweight face detection model  (1MB轻量级人脸检测模型)
streamlit/streamlit,streamlit-streamlit,1,rio-labs/rio,False,1002.21,True,90.31,2,"WebApps in pure Python. No JavaScript, HTML and CSS needed"
streamlit/streamlit,streamlit-streamlit,2,probabl-ai/skore,False,973.31,True,90.31,2,"Track your Data Science. Skore's open-source Python library accelerates ML model development with automated evaluation reports, smart methodological guidance, and comprehensive cross-validation analys"
streamlit/streamlit,streamlit-streamlit,3,scikit-learn-contrib/imbalanced-learn,False,961.95,True,143.14,2, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning
streamlit/streamlit,streamlit-streamlit,4,python-visualization/folium,False,886.16,True,90.31,2,Python Data. Leaflet.js Maps. 
streamlit/streamlit,streamlit-streamlit,5,ndleah/python-mini-project,False,871.87,True,90.31,2,🙌 Welcome open-source Python mini-project contributions!
ultralytics/yolov5,ultralytics-yolov5,1,Megvii-BaseDetection/YOLOX,False,1010.31,True,0,2,"YOLOX is a high-performance anchor-free YOLO, exceeding yolov3~v5 with MegEngine, ONNX, TensorRT, ncnn, and OpenVINO supported. Documentation: https://yolox.readthedocs.io/"
ultralytics/yolov5,ultralytics-yolov5,2,tinyvision/DAMO-YOLO,False,982.53,True,0,2,"DAMO-YOLO: a fast and accurate object detection method with some new techs, including NAS backbones, efficient RepGFPN, ZeroHead, AlignedOTA, and distillation enhancement."
ultralytics/yolov5,ultralytics-yolov5,3,ayooshkathuria/pytorch-yolo-v3,False,943.55,True,0,1,A PyTorch implementation of the YOLO v3 object detection algorithm
ultralytics/yolov5,ultralytics-yolov5,4,open-mmlab/mmyolo,False,893.11,True,0,1,"OpenMMLab YOLO series toolbox and benchmark. Implemented RTMDet, RTMDet-Rotated,YOLOv5, YOLOv6, YOLOv7, YOLOv8,YOLOX, PPYOLOE, etc."
ultralytics/yolov5,ultralytics-yolov5,5,PeterH0323/Smart_Construction,False,882.49,True,0,1,Base on YOLOv5 Head Person Helmet Detection on Construction Sites，基于目标检测工地安全帽和禁入危险区域识别系统，🚀😆附 YOLOv5 训练自己的数据集超详细教程🚀😆2021.3新增可视化界面❗❗
