AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
huggingface/datasets,huggingface-datasets,2,jacobgil/pytorch-grad-cam,False,826.76,True,52.68,2,"Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
huggingface/datasets,huggingface-datasets,3,mlfoundations/open_clip,False,803.3,True,83.5,1,An open source implementation of CLIP.
huggingface/datasets,huggingface-datasets,4,katanaml/sparrow,False,802.53,True,0,1,"Structured data extraction and instruction calling with ML, LLM and Vision LLM"
huggingface/datasets,huggingface-datasets,5,rohitg00/ai-engineering-from-scratch,False,795.61,True,147.89,2,Learn it. Build it. Ship it for others.
huggingface/transformers,huggingface-transformers,1,GradientHQ/parallax,False,817.24,True,0,1,Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere
huggingface/transformers,huggingface-transformers,2,hiyouga/EasyR1,False,799.25,True,0,1,"EasyR1: An Efficient, Scalable, Multi-Modality RL Training Framework based on veRL"
huggingface/transformers,huggingface-transformers,3,jessevig/bertviz,False,788.59,True,52.68,1,BertViz: Visualize Attention in Transformer Models
huggingface/transformers,huggingface-transformers,4,speechbrain/speechbrain,False,777.8,True,0,1,A PyTorch-based Speech Toolkit
huggingface/transformers,huggingface-transformers,5,Tencent/AngelSlim,False,766.67,True,0,1,"Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency."
jina-ai/serve,jina-ai-serve,1,bentoml/BentoML,False,842.48,True,83.5,1,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
jina-ai/serve,jina-ai-serve,2,Netflix/metaflow,False,790.75,True,83.5,1,"Build, Manage and Deploy AI/ML Systems"
jina-ai/serve,jina-ai-serve,3,PrefectHQ/fastmcp,False,716.79,True,52.68,1,"🚀 The fast, Pythonic way to build MCP servers and clients."
jina-ai/serve,jina-ai-serve,4,agentscope-ai/agentscope,False,716.43,True,52.68,1,"Build and run agents you can see, understand and trust."
jina-ai/serve,jina-ai-serve,5,emcie-co/parlant,False,715.1,True,52.68,1,"Build reliable customer-facing AI agents with Parlant: an interaction control harness optimized for controlled, consistent, and predictable LLM interactions."
onnx/onnx,onnx-onnx,1,google-deepmind/sonnet,False,881.53,True,122.32,4,TensorFlow-based neural network library
onnx/onnx,onnx-onnx,2,kornia/kornia,False,865.9,True,122.32,4,🐍 Geometric Computer Vision Library for Spatial AI
onnx/onnx,onnx-onnx,3,Lightning-AI/pytorch-lightning,True,840.12,True,219.67,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
onnx/onnx,onnx-onnx,4,flwrlabs/flower,False,839.14,True,136.18,4,Flower: A Friendly Federated AI Framework
onnx/onnx,onnx-onnx,5,stanfordnlp/stanza,False,790.89,True,136.18,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
pytorch/pytorch,pytorch-pytorch,1,chainer/chainer,False,1082.89,True,0,1,A flexible framework of neural networks for deep learning
pytorch/pytorch,pytorch-pytorch,2,norse/norse,False,1050,True,0,1,Deep learning with spiking neural networks (SNNs) in PyTorch.
pytorch/pytorch,pytorch-pytorch,3,pranftw/neograd,False,1015.38,True,0,1,A deep learning framework created from scratch with Python and NumPy
pytorch/pytorch,pytorch-pytorch,4,leptonai/leptonai,False,999.15,True,0,1,A Pythonic framework to simplify AI service building
pytorch/pytorch,pytorch-pytorch,5,oreilly-japan/deep-learning-from-scratch-3,False,960,True,0,1,"『ゼロから作る Deep Learning ❸』(O'Reilly Japan, 2020)"
ray-project/ray,ray-project-ray,1,torchpipe/torchpipe,False,773.08,True,0,1,Serving Inside Pytorch
ray-project/ray,ray-project-ray,2,ELS-RD/transformer-deploy,False,769.62,True,0,1,"Efficient, scalable and enterprise-grade CPU/GPU inference server for 🤗 Hugging Face transformer models 🚀"
ray-project/ray,ray-project-ray,3,NVIDIA/TensorRT-LLM,False,757.46,True,52.68,1,TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT 
ray-project/ray,ray-project-ray,4,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,False,750,True,0,1,"Deploy BERT for Sentiment Analysis as REST API using FastAPI, Transformers by Hugging Face and PyTorch"
ray-project/ray,ray-project-ray,5,google/langextract,False,743.24,True,122.32,2,A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.
recommenders-team/recommenders,recommenders-team-recommenders,1,Lightning-AI/pytorch-lightning,True,841.62,True,219.67,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
recommenders-team/recommenders,recommenders-team-recommenders,2,unit8co/darts,False,786.96,True,136.18,5,A python library for user-friendly forecasting and anomaly detection on time series.
recommenders-team/recommenders,recommenders-team-recommenders,3,kornia/kornia,False,777.56,True,122.32,4,🐍 Geometric Computer Vision Library for Spatial AI
recommenders-team/recommenders,recommenders-team-recommenders,4,google-deepmind/sonnet,False,765,True,122.32,4,TensorFlow-based neural network library
recommenders-team/recommenders,recommenders-team-recommenders,5,stanfordnlp/stanza,False,756.44,True,136.18,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
sebastianruder/NLP-progress,sebastianruder-NLP-progress,1,nltk/nltk,False,957.85,True,0,1,NLTK Source
sebastianruder/NLP-progress,sebastianruder-NLP-progress,2,jasonwu0731/trade-dst,False,920.52,True,0,1,"Source code for transferable dialogue state generator (TRADE, Wu et al., 2019). https://arxiv.org/abs/1905.08743 "
sebastianruder/NLP-progress,sebastianruder-NLP-progress,3,hankcs/HanLP,False,907.58,True,0,1,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理
sebastianruder/NLP-progress,sebastianruder-NLP-progress,4,budzianowski/multiwoz,False,899.3,True,0,1,"Source code for end-to-end dialogue model from the MultiWOZ paper (Budzianowski et al. 2018, EMNLP)"
sebastianruder/NLP-progress,sebastianruder-NLP-progress,5,Maluuba/nlg-eval,False,865.47,True,0,1,Evaluation code for various unsupervised automated metrics for Natural Language Generation.
serengil/deepface,serengil-deepface,1,deepinsight/insightface,False,785.5,True,52.68,2,State-of-the-art 2D and 3D Face Analysis Project
serengil/deepface,serengil-deepface,2,RangiLyu/nanodet,False,754.58,True,0,1,NanoDet-Plus⚡Super fast and lightweight anchor-free object detection model. 🔥Only 980 KB(int8) / 1.8MB (fp16) and run 97FPS on cellphone🔥
serengil/deepface,serengil-deepface,3,Lasagne/Lasagne,False,752.52,True,0,1,Lightweight library to build and train neural networks in Theano
serengil/deepface,serengil-deepface,4,wujiyang/Face_Pytorch,False,739.15,True,0,1,"face recognition algorithms  in pytorch framework, including arcface, cosface, sphereface and so on"
serengil/deepface,serengil-deepface,5,Zeyi-Lin/HivisionIDPhotos,False,733.36,True,105.36,1,⚡️HivisionIDPhotos: a lightweight and efficient AI ID photos tools. 一个轻量级的AI证件照制作算法。
streamlit/streamlit,streamlit-streamlit,1,unit8co/darts,False,906.8,True,136.18,5,A python library for user-friendly forecasting and anomaly detection on time series.
streamlit/streamlit,streamlit-streamlit,2,gradio-app/gradio,True,900.02,True,210.72,5,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
streamlit/streamlit,streamlit-streamlit,3,Lightning-AI/pytorch-lightning,True,868.88,True,219.67,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
streamlit/streamlit,streamlit-streamlit,4,keras-team/keras,True,845.98,True,215.33,10,Deep Learning for humans
streamlit/streamlit,streamlit-streamlit,5,NannyML/nannyml,False,843.65,True,52.68,2,nannyml: post-deployment data science in python
ultralytics/yolov5,ultralytics-yolov5,1,Megvii-BaseDetection/YOLOX,False,1010.31,True,0,1,"YOLOX is a high-performance anchor-free YOLO, exceeding yolov3~v5 with MegEngine, ONNX, TensorRT, ncnn, and OpenVINO supported. Documentation: https://yolox.readthedocs.io/"
ultralytics/yolov5,ultralytics-yolov5,2,WangQvQ/YOLOMagic,False,1000,True,0,1,"YOLO Magic🪄 is an extension based on Ultralytics' YOLOv5, designed to provide more powerful functionality and simpler operations for visual tasks."
ultralytics/yolov5,ultralytics-yolov5,3,tinyvision/DAMO-YOLO,False,982.54,True,0,1,"DAMO-YOLO: a fast and accurate object detection method with some new techs, including NAS backbones, efficient RepGFPN, ZeroHead, AlignedOTA, and distillation enhancement."
ultralytics/yolov5,ultralytics-yolov5,4,ayooshkathuria/pytorch-yolo-v3,False,943.56,True,0,1,A PyTorch implementation of the YOLO v3 object detection algorithm
ultralytics/yolov5,ultralytics-yolov5,5,open-mmlab/mmyolo,False,893.09,True,0,1,"OpenMMLab YOLO series toolbox and benchmark. Implemented RTMDet, RTMDet-Rotated,YOLOv5, YOLOv6, YOLOv7, YOLOv8,YOLOX, PPYOLOE, etc."
