"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","vi3k6i5/flashtext","https://github.com/vi3k6i5/flashtext","vi3k6i5","Python","5711","nlp","722.13","722.13","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.6979","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":122.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":722.13,""ScoreFinal"":722.13}","Score>=MinimumScore","nlp language:Python stars:>=50","Extract Keywords from sentence or Replace keywords in sentences.","15"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","Unbabel/COMET","https://github.com/Unbabel/COMET","Unbabel","Python","752","deep-learning","720.13","720.13","0","50","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.2579","1","0","0.3333","Topic+Lang+Recency","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":45.13,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":720.13,""ScoreFinal"":720.13}","Score>=MinimumScore","topic:machine-translation language:Python stars:>=50"," A Neural Framework for MT Evaluation","16"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","rsennrich/Bleualign","https://github.com/rsennrich/Bleualign","rsennrich","Python","314","nlp","715.58","715.58","0","50","QueryCoverage excluded from Score (recommended).","True","0.1429","0","1","0.0686","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":12.01,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":715.58,""ScoreFinal"":715.58}","Score>=MinimumScore","topic:machine-translation language:Python stars:>=50","Machine-Translation-based sentence alignment tool for parallel text","17"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","ictnlp/StreamSpeech","https://github.com/ictnlp/StreamSpeech","ictnlp","Python","1269","nlp","700.99","700.99","0","50","QueryCoverage excluded from Score (recommended).","True","0.04","0","1","0.3714","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":36.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":64.99,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":700.99,""ScoreFinal"":700.99}","Score>=MinimumScore","topic:machine-translation language:Python stars:>=50","StreamSpeech is an “All in One” seamless model for offline and simultaneous speech recognition, speech translation and speech synthesis.","18"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","cylnlp/dialogsum","https://github.com/cylnlp/dialogsum","cylnlp","Python","184","nlp","700","700","0","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":700.0,""ScoreFinal"":700.0}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50","DialogSum: A Real-life Scenario Dialogue Summarization Dataset - Findings of ACL 2021","19"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","skywalker023/prosocial-dialog","https://github.com/skywalker023/prosocial-dialog","skywalker023","Python","67","nlp","700","700","0","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":700.0,""ScoreFinal"":700.0}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50","🐥 Code and Dataset for our EMNLP 2022 paper - ""ProsocialDialog: A Prosocial Backbone for Conversational Agents""","20"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","persiannlp/parsinlu","https://github.com/persiannlp/parsinlu","persiannlp","Python","168","nlp","687.5","687.5","0","50","QueryCoverage excluded from Score (recommended).","False","0.125","0","1","0","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":687.5,""ScoreFinal"":687.5}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","A comprehensive suite of high-level NLP tasks for Persian language","21"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","srvk/how2-dataset","https://github.com/srvk/how2-dataset","srvk","Python","193","nlp","669.23","669.23","0","50","QueryCoverage excluded from Score (recommended).","False","0.0769","0","1","0","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":69.23,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":669.23,""ScoreFinal"":669.23}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","This repository contains code and metadata of How2 dataset","22"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","Helsinki-NLP/Opus-MT","https://github.com/Helsinki-NLP/Opus-MT","Helsinki-NLP","Python","814","deep-learning","668.59","668.59","0","50","QueryCoverage excluded from Score (recommended).","False","0.2727","0","1","0.2751","1","0","0.3333","Lang+Topic+Recency","{""Topic"":245.45,""Lexical"":0.0,""Lang"":250.0,""Stars"":48.13,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":668.59,""ScoreFinal"":668.59}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","Open neural machine translation models and web services","23"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","jfainberg/self_dialogue_corpus","https://github.com/jfainberg/self_dialogue_corpus","jfainberg","Python","107","nlp","662.5","662.5","0","50","QueryCoverage excluded from Score (recommended).","False","0.125","0","1","0","0.6","1","0.3333","Lang+Subdomain+Topic","{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":75.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":662.5,""ScoreFinal"":662.5}","Score<MinimumScore","topic:dialogue language:Python stars:>=50","The Self-dialogue Corpus - a collection of self-dialogues across music, movies and sports","24"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","chunyuanY/Dialogue","https://github.com/chunyuanY/Dialogue","chunyuanY","Python","63","nlp","653.57","653.57","0","50","QueryCoverage excluded from Score (recommended).","False","0.1429","0","1","0","0.4","1","0.3333","Lang+Subdomain+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":50.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":653.57,""ScoreFinal"":653.57}","Score<MinimumScore","topic:dialogue language:Python stars:>=50","","25"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","UFAL-DSG/tgen","https://github.com/UFAL-DSG/tgen","UFAL-DSG","Python","208","nlp","644.23","644.23","0","50","QueryCoverage excluded from Score (recommended).","False","0.0769","0","1","0","0.8","1","0.3333","Lang+Subdomain+Recency","{""Topic"":69.23,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":644.23,""ScoreFinal"":644.23}","Score<MinimumScore","topic:dialogue language:Python stars:>=50","Statistical NLG for spoken dialogue systems","26"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","mit-han-lab/hardware-aware-transformers","https://github.com/mit-han-lab/hardware-aware-transformers","mit-han-lab","Python","338","llm","642.3","642.3","0","50","QueryCoverage excluded from Score (recommended).","False","0.2","0.15","1","0.0846","0.8","0","0.3333","Lang+Topic+Recency","{""Topic"":180.0,""Lexical"":97.5,""Lang"":250.0,""Stars"":14.8,""Recency"":100.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":642.3,""ScoreFinal"":642.3}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","[ACL'20] HAT: Hardware-Aware Transformers for Efficient Natural Language Processing","27"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","asyml/texar-pytorch","https://github.com/asyml/texar-pytorch","asyml","Python","747","llm","632.87","632.87","0","50","QueryCoverage excluded from Score (recommended).","False","0.15","0.12","1","0.2564","1","0","0.3333","Lang+Topic+Recency","{""Topic"":135.0,""Lexical"":78.0,""Lang"":250.0,""Stars"":44.87,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":632.87,""ScoreFinal"":632.87}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","Integrating the Best of TF into PyTorch, for Machine Learning, Natural Language Processing, and Text Generation.  This is part of the CASL project: http://casl-project.ai/","28"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7797","deep-learning","631.05","716.65","85.6","50","QueryCoverage excluded from Score (recommended).","False","0.2308","0","1","0.7655","1","0","0.3333","Lang+Topic+Stars","{""Topic"":207.69,""Lexical"":0.0,""Lang"":250.0,""Stars"":133.96,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":85.6,""ScoreBase"":716.65,""ScoreFinal"":631.05}","Score<MinimumScore","nlp language:Python stars:>=50","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","29"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","shawnwun/RNNLG","https://github.com/shawnwun/RNNLG","shawnwun","Python","490","deep-learning","628.88","628.88","0","50","QueryCoverage excluded from Score (recommended).","False","0.25","0","1","0.165","1","0","0.3333","Lang+Topic+Recency","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":28.88,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":628.88,""ScoreFinal"":628.88}","Score<MinimumScore","topic:dialogue language:Python stars:>=50","RNNLG is an open source benchmark toolkit for Natural Language Generation (NLG) in spoken dialogue system application domains. It is released by Tsung-Hsien (Shawn) Wen from Cambridge Dialogue Systems Group under Apache License 2.0.","30"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","pytorch/vision","https://github.com/pytorch/vision","pytorch","Python","17692","computer-vision","616.18","668.66","52.48","50","QueryCoverage excluded from Score (recommended).","False","0.1429","0","1","0.9434","1","0","0.3333","Lang+Stars+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":165.09,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.48,""ScoreBase"":668.66,""ScoreFinal"":616.18}","Score<MinimumScore","topic:machine-learning language:Python stars:>=50","Datasets, Transforms and Models specific to Computer Vision","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","asyml/texar","https://github.com/asyml/texar","asyml","Python","2391","llm","614.05","614.05","0","50","QueryCoverage excluded from Score (recommended).","False","0.1667","0","1","0.5089","1","0","0.3333","Lang+Topic+Recency","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":89.05,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":614.05,""ScoreFinal"":614.05}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","Toolkit for Machine Learning, Natural Language Processing, and Text Generation, in TensorFlow.  This is part of the CASL project: http://casl-project.ai/","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12095","nlp","613.14","613.14","0","50","QueryCoverage excluded from Score (recommended).","False","0.125","0","0","0.8608","1","1","0.3333","Subdomain+Stars+Recency","{""Topic"":112.5,""Lexical"":0.0,""Lang"":0.0,""Stars"":150.64,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":613.14,""ScoreFinal"":613.14}","Score<MinimumScore","topic:nlp stars:>=100","modest natural-language processing","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","uzaymacar/attention-mechanisms","https://github.com/uzaymacar/attention-mechanisms","uzaymacar","Python","380","llm","607.28","607.28","0","50","QueryCoverage excluded from Score (recommended).","False","0.1111","0.1739","1","0.1099","1","0","0.3333","Lang+Recency+Lexical","{""Topic"":100.0,""Lexical"":113.04,""Lang"":250.0,""Stars"":19.24,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":607.28,""ScoreFinal"":607.28}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","Implementations for a family of attention mechanisms, suitable for all kinds of natural language processing tasks and compatible with TensorFlow 2.0 and Keras.","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","microsoft/DialoGPT","https://github.com/microsoft/DialoGPT","microsoft","Python","2422","llm","603","603","0","50","QueryCoverage excluded from Score (recommended).","False","0.1538","0","1","0.5117","1","0","0.3333","Lang+Topic+Recency","{""Topic"":138.46,""Lexical"":0.0,""Lang"":250.0,""Stars"":89.54,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":603.0,""ScoreFinal"":603.0}","Score<MinimumScore","topic:dialogue language:Python stars:>=50","Large-scale pretraining for dialogue","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","allenai/RL4LMs","https://github.com/allenai/RL4LMs","allenai","Python","2386","llm","602.43","602.43","0","50","QueryCoverage excluded from Score (recommended).","False","0.1538","0","1","0.5084","1","0","0.3333","Lang+Topic+Recency","{""Topic"":138.46,""Lexical"":0.0,""Lang"":250.0,""Stars"":88.97,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":602.43,""ScoreFinal"":602.43}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","A modular RL library to fine-tune language models to human preferences","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","NVIDIA-NeMo/NeMo","https://github.com/NVIDIA-NeMo/NeMo","NVIDIA-NeMo","Python","17251","deep-learning","599.13","599.13","0","50","QueryCoverage excluded from Score (recommended).","False","0.0667","0","1","0.9379","1","0","0.3333","Lang+Stars+Recency","{""Topic"":60.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":164.13,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":599.13,""ScoreFinal"":599.13}","Score<MinimumScore","topic:machine-translation language:Python stars:>=50","A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","jessevig/bertviz","https://github.com/jessevig/bertviz","jessevig","Python","8065","llm","597.13","630.24","33.11","50","QueryCoverage excluded from Score (recommended).","False","0.1333","0","1","0.7728","1","0","0.3333","Lang+Stars+Recency","{""Topic"":120.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":135.24,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":33.11,""ScoreBase"":630.24,""ScoreFinal"":597.13}","Score<MinimumScore","nlp language:Python stars:>=50","BertViz: Visualize Attention in Transformer Models","0"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","bbfamily/abu","https://github.com/bbfamily/abu","bbfamily","Python","17234","data-science","595.34","595.34","0","50","QueryCoverage excluded from Score (recommended).","False","0.0625","0","1","0.9377","1","0","0.3333","Lang+Stars+Recency","{""Topic"":56.25,""Lexical"":0.0,""Lang"":250.0,""Stars"":164.09,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":595.34,""ScoreFinal"":595.34}","Score<MinimumScore","topic:machine-learning language:Python stars:>=50","阿布量化交易系统(股票，期权，期货，比特币，机器学习) 基于python的开源量化交易，量化投资架构","0"
